Call_HW=0.000042 | Put_HW=109.955940
Call_HW=4.068172 | Put_HW=32.789085
Call_HW=4.068172 | Put_HW=32.789085
Call_HW=4.068172 | Put_HW=32.789085
Call_HW=4.068172 | Put_HW=32.789085
Call_HW=0.013054 | Put_HW=84.703957
Call_HW=0.013054 | Put_HW=84.703957
Call_HW=0.013054 | Put_HW=84.703957
Call_HW=0.013054 | Put_HW=84.703957
Call_HW=0.013054 | Put_HW=84.703957
Call_HW=0.013054 | Put_HW=84.703957
Call_HW=0.000576 | Put_HW=100.156479
Call_HW=0.000576 | Put_HW=100.156479
Call_HW=0.000576 | Put_HW=100.156479
Call_HW=0.000576 | Put_HW=100.156479
Call_HW=0.000576 | Put_HW=100.156479
Call_HW=0.000576 | Put_HW=100.156479
Call_HW=0.000576 | Put_HW=100.156479
Call_HW=0.000576 | Put_HW=100.156479
Call_HW=0.000170 | Put_HW=104.991074
Call_HW=0.000170 | Put_HW=104.991074
Call_HW=0.000170 | Put_HW=104.991074
Call_HW=0.000170 | Put_HW=104.991074
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=0.000077 | Put_HW=107.875961
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=151.648834 | Put_HW=0.024739
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
Call_HW=150.345474 | Put_HW=0.026383
